ARTICULO,NE_URDIMBRE,NE_TRAMA,MAT_U,MAT_T,TITULO_U,TITULO_T1,NUM_CABOS_U,NUM_CABOS_T1,MEZCLA_U,MEZCLA_T1,ID_LIGAMENTO,LIGAMENTO_FONDO,LIGAMENTO_ORILLO,DIENTES/CM_PEINE,HILOS/DIENTE_FONDO,HILOS/DIENTE_ORILLO,ANCHO_PEINE,ANCHO_CRUDO,%E_URDIMBRE,HILOS_FONDO,HILOS_ORILLO,TOTAL_HILOS/ANCHO_CRUDO,PASADAS/CM_T1,TOTAL_PASADAS,GR/MTL_U,GR/MTL_T1,TOTAL_GR/MTL,RPM,FACT_COB_U,FACT_COB_T,FACT_COB_TOTAL_TEO,FACT_COB_TOTAL_REAL,TUPIDEZ,COLORANTE_BLANCO_T,COLORANTE_BLANCO_U,COLORANTE_CRUDO_T,COLORANTE_CRUDO_U,COLORANTE_OTROS_T,COLORANTE_OTROS_U,COLORANTE_REACTIVO_T,COLORANTE_REACTIVO_U,COLORANTE_TINA_T,COLORANTE_TINA_U,LUMINOSIDAD_T_1,LUMINOSIDAD_U_1,LUMINOSIDAD_T_2,LUMINOSIDAD_U_2,LUMINOSIDAD_T_3,LUMINOSIDAD_U_3,LUMINOSIDAD_T_4,LUMINOSIDAD_U_4,LUMINOSIDAD_T_5,LUMINOSIDAD_U_5,LUMINOSIDAD_T_6,LUMINOSIDAD_U_6,No. formula,TIPO,TCDREC,PROD_21020001,PROD_21020002,PROD_21020003,PROD_21020004,PROD_21020005,PROD_21020006,PROD_21020007,PROD_21020009,PROD_21020011,PROD_21020012,PROD_21020013,PROD_21020014,PROD_21040004,PROD_21040011,PROD_21040012,AGUA    ,DISENO,COMBINACION,Metros,Telar,Fc.Corte,Lt.Urdimbre,LT_HILADO,Ne_prom,CV% Ne_prom,cN/tex_prom,TPI_prom,FT_prom,CV% TPI_prom,E%_prom,CV% E_prom,CV%R_prom,CVm%_prom,I_prom,PD(-40%)_prom,PD(-50%)_prom,PG(+35%)_prom,PG(+50%)_prom,NEPS(+140%)_prom,NEPS(+200%)_prom,H_prom,Sh_prom,var_Ne_prom,var_cN/tex_prom,var_TPI_prom,var_E%_prom,%falla_R_prom,%falla_E_prom,NUM_COLORES_U,NUM_COLORES_T,PROD_2102,PROD_2104,PORC_PASADAS/CM_T1,PORC_GR/MTL_U,PORC_GR/MTL_T1,TELAR,MONTAJE,FECHA,CMPX DE PARO POR URDIMBRE,METROS TOTALES,MAQUINA_PINZAS
M2040164,40/1 UW2.AP.,41.5/2 2NLS0.,M2,4,40.0,40.0,1.0,1.0,UW2,UW2,0,Sarga 2/2      ,Repp 2/2       ,13.0,3.0,4.0,189.9,170.0,7.6,7293.0,152.0,38.0,38.0,38.0,116.42,68.48,187.46,400.0,17.6,12.45,30.05,30.05,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,239,209,2020-12-03,530539,530539.0,39.95666666666667,1.386666666666667,13.92666666666667,30.585,4.753333333333333,2.31,11.73166666666667,36.94166666666667,13.53333333333333,14.88333333333333,1.195,425.5,31.33333333333333,587.5,65.16666666666667,137.0,30.5,5.285,1.231666666666667,0.3106879789926667,4.144723257748333,0.5345316652786667,19.0046434379875,0.9880074385196784,0.061326910645766564,0,0,0.0,0.0,1.0,0.6210391550197375,0.3653045983143071,209,27,2020-12-02,6.790000057220459,293,1
M2020186,30/1 AL1.AP.,16/1 ZWA.CC.,M2,2,30.0,30.0,1.0,1.0,AL1,AL1,0,Sarga 2/1      ,Tafetan        ,9.0,4.0,4.0,190.0,165.0,6.0,6696.0,144.0,22.0,22.0,22.0,140.09,158.6,301.95,400.0,19.24,13.98,33.22,33.22,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,262,214,2020-12-02,530595,530595.0,30.2,1.6,23.0,23.34,4.26,4.03,5.62,9.82,6.42,10.66,1.28,6.0,0.0,93.0,8.0,204.0,42.0,5.48,1.24,0.23348224,2.18034756,0.8847321224040001,0.304575949456,0.003375070575479551,0.1306286272580507,0,0,0.0,0.0,1.0,0.4639509852624607,0.5252525252525253,214,17,2020-12-01,8.279999732971191,312,1
M2070188,40/2 AK2.AP.,41.5/2 2NLS0.,M2,7,40.0,40.0,2.0,2.0,AK2,AK2,0,Dobby          ,Repp 2/2       ,14.0,3.0,4.0,190.0,175.0,8.0,7852.0,168.0,35.0,35.0,35.0,251.78,63.1,320.4,400.0,26.01,17.31,43.32,43.32,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,261,202,2020-12-01,650203,650203.0,20.2,0.7,21.17,16.24,2.61,3.63,7.17,5.0,5.5,8.84,1.23,0.0,0.0,13.0,1.0,11.0,3.0,7.37,1.97,0.01999396,1.3557109225,0.3475243981439999,0.12852225,0.0311818680960207,7.108704950059158e-10,0,0,0.0,0.0,1.0,0.7858302122347067,0.19694132334581774,202,49,2020-12-01,2.5033333698908486,308,1
M2020190,30/1 AL1.AP.,20/1 PY2.CP.,M2,2,30.0,30.0,1.0,1.0,AL1,AL1,0,Sarga 2/1      ,Tafetan        ,9.0,4.0,4.0,190.0,165.0,6.0,6696.0,144.0,29.0,29.0,29.0,140.09,167.25,310.6,400.0,19.24,16.48,35.72,35.72,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,230,213,2020-11-28,9550165,9550165.0,30.4,1.02,23.83333333333333,22.56333333333333,4.116666666666667,1.96,5.823333333333332,7.293333333333334,6.79,10.54,1.22,6.0,0.0,72.0,7.0,162.66666666666669,35.0,5.363333333333333,1.25,0.09629603283333332,2.618940273825666,0.195586153187,0.1805648525883334,0.001547213535138797,0.0384531284705662,0,0,0.0,0.0,1.0,0.4510302640051513,0.5384739214423696,213,18,2020-11-27,6.339999914169312,305,1
M2070177,40/2 FV4.AC.,34/2 FV4.AC.,M2,7,40.0,40.0,2.0,2.0,FV4,FV4,0,Dobby          ,Tafetan        ,14.0,3.0,3.0,189.3,175.0,10.0,7892.0,60.0,20.0,20.0,20.0,258.68,135.21,396.06,500.0,25.78,12.32,38.1,38.1,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,400,151,2020-11-27,250188,250188.0,40.31940000000001,1.2752479859644381,27.28,27.67133333333334,4.3781578599601785,1.806785633844066,11.536,9.7,10.777999999999999,12.342,1.244,75.0,3.2,75.2,7.2,72.8,20.0,4.762,1.05,0.285115777777778,8.671288673437202,0.253230454069867,1.2569685711088001,0.0030334319845817287,2.8039366807130934e-08,0,0,0.0,0.0,1.0,0.6531333636317729,0.3413876685350705,151,47,2020-11-27,0.8799999654293059,603,0
M2010049,60/1 PA2.KP.,60/1 AYH.CP.,M2,1,60.0,60.0,1.0,1.0,PA2,PA2,0,Tafetan        ,Tafetan        ,18.0,2.0,4.0,190.0,175.0,5.0,6788.0,104.0,35.2,35.2,35.2,70.26,67.67,139.09,720.0,12.92,11.54,24.46,24.46,1.0,0.3226982680036463,0.3231312536786345,0.0,0.0,0.0,0.0,0.6773017319963537,0.6768687463213655,0.0,0.0,0.3226982680036463,0.3231312536786345,0.0,0.0,0.14554846551200246,0.14479105356091818,0.5317532664843513,0.5320776927604474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320275,44/01,232,201,2020-11-24,541500,541500.0,60.35,1.095,25.05,32.3875,4.1812082709215455,2.1825,5.5175,7.8,7.899999999999999,12.7425,1.0225,109.65,3.025,192.35,12.1,134.675,29.075,2.565,0.6074999999999999,0.4836595772000001,3.9407867057249986,0.5253749271682501,0.18583314915,0.001681995621369475,0.1295812051225121,4,4,0.0,0.0,1.0,0.5051405564742254,0.4865195197354231,201,1,2020-11-23,5.309999942779541,1400,1
M2070184,60/1 PA2.KP.,60/1 AYH.CP.,M2,7,60.0,60.0,1.0,1.0,PA2,PA2,0,Dobby          ,Matt 2/2       ,18.0,3.0,4.0,190.0,175.0,3.5,10173.0,112.0,52.8,52.8,52.8,103.66,101.5,206.38,400.0,19.29,17.31,36.6,36.6,1.0,0.0,0.18397014045771531,0.16666666666666669,0.0,0.0,0.0,0.8333333333333335,0.8160298595422846,0.0,0.0,0.16666666666666669,0.18397014045771531,0.0,0.0,0.5952651515151516,0.0,0.23806818181818185,0.8160298595422846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320381,33/01,263,201,2020-11-19,541926,541926.0,60.35,1.095,25.05,32.3875,4.1812082709215455,2.1825,5.5175,7.8,7.899999999999999,12.7425,1.0225,109.65,3.025,192.35,12.1,134.675,29.075,2.565,0.6074999999999999,0.4836595772000001,3.9407867057249986,0.5253749271682501,0.18583314915,0.001681995621369475,0.1295812051225121,3,3,0.0,0.0,1.0,0.5022773524566334,0.4918112220176374,201,48,2020-11-18,1.7499999925494194,309,1
M2040106,60/1 A91.AP.,50/1 AY0.CP.,M2,4,60.0,60.0,1.0,1.0,A91,A91,0,Sarga 2/2      ,Matt 2/2       ,13.0,3.0,4.0,190.0,175.0,7.6,7332.0,104.0,39.4,39.4,39.4,78.03,90.89,170.12,400.0,13.94,14.16,28.1,28.1,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,320272,44/01,222,201,2020-11-13,541506,541506.0,60.2,1.32,19.61,31.73,4.1,1.84,4.45,12.6,11.5,13.98,1.18,256.0,15.0,476.0,72.0,718.0,180.0,4.54,1.15,0.6314527296000002,5.0857015225,0.340859804224,0.31438449,0.3933908911144575,0.8366830920783463,4,4,0.0,0.0,1.0,0.4586762285445568,0.5342699271102751,201,24,2020-11-12,3.8266667524973546,546,1
M2070217,40/1 PA2.KP.,40/1 P47.AP.,M2,7,40.0,40.0,1.0,1.0,PA2,PA2,0,Dobby          ,Matt 2/2       ,21.0,2.0,3.0,170.2,160.0,6.0,7080.0,98.0,31.1,31.1,31.1,111.1,80.6,193.37,500.0,18.02,12.49,30.51,30.51,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,323,162,2020-11-06,9230337,9230337.0,40.33076923076922,1.075384615384616,25.06507256615384,25.234615384615378,3.9899430247273777,2.745384615384615,5.844615384615384,7.7399999999999975,7.36153846153846,11.544615384615382,1.131538461538461,30.35384615384615,0.2461538461538462,93.6153846153846,4.2,62.161538461538456,12.01615384615385,3.2623076923076932,0.7561538461538462,0.1982517627,3.4969499962546164,0.4888437668946155,0.205458071131077,0.001153237829074498,0.05432874931011388,0,0,0.0,0.0,1.0,0.5745462067538915,0.4168175001292858,162,52,2020-11-05,2.1099999785423282,377,0
M2030202,16/1 AL1.AP.,16/1 UYG.CP.,M2,3,16.0,16.0,1.0,1.0,AL1,AL1,0,Sarga 3/1      ,Repp 2/2       ,16.0,2.0,3.0,190.0,170.0,6.0,5984.0,144.0,22.8,22.8,22.8,234.74,164.36,404.91,500.0,22.85,14.48,37.33,37.33,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,00/00,268,212,2020-11-05,530606,530606.0,15.8,1.1,25.77,18.62,4.65,2.43,7.17,5.8,5.73,9.07,1.65,0.0,0.0,36.0,6.0,44.0,9.0,7.05,1.51,0.03020644000000001,2.180409577641,0.2047254811560001,0.1729395396,2.272194069303743e-06,9.038283709959511e-08,0,0,0.0,0.0,1.0,0.5797337679978266,0.4059173643525722,212,22,2020-11-05,9.787499755620958,318,1
